Taps,Steps,X Filtered,Y Filtered,Z Filtered,Average Absolute Error
3,1,N,N,N,46.694
3,2,Y,Y,Y,372.854
3,2,Y,Y,N,383.858
3,2,Y,N,Y,364.94
3,2,Y,N,N,316.011
3,2,N,Y,Y,357.955
3,2,N,Y,N,332.217
3,2,N,N,Y,226.927
3,2,N,N,N,46.694
4,0.01,Y,Y,Y,50.135
4,0.01,Y,Y,N,49.545
4,0.01,Y,N,Y,45.836
4,0.01,Y,N,N,44.288
4,0.01,N,Y,Y,52.305
4,0.01,N,Y,N,51.196
4,0.01,N,N,Y,47.616
4,0.01,N,N,N,46.694
4,0.1,Y,Y,Y,40.653
4,0.1,Y,Y,N,46.111
4,0.1,Y,N,Y,38.059
4,0.1,Y,N,N,36.807
4,0.1,N,Y,Y,47.254
4,0.1,N,Y,N,54.712
4,0.1,N,N,Y,44.458
4,0.1,N,N,N,46.694
4,0.5,Y,Y,Y,25.459
4,0.5,Y,Y,N,30.655
4,0.5,Y,N,Y,21.647
4,0.5,Y,N,N,26.779
4,0.5,N,Y,Y,36.355
4,0.5,N,Y,N,54.529
4,0.5,N,N,Y,37.411
4,0.5,N,N,N,46.694
4,1,Y,Y,Y,58.419
4,1,Y,Y,N,67.974
4,1,Y,N,Y,47.284
4,1,Y,N,N,24.966
4,1,N,Y,Y,31.812
4,1,N,Y,N,46.283
4,1,N,N,Y,27.112
4,1,N,N,N,46.694
4,2,Y,Y,Y,376.145
4,2,Y,Y,N,387.36
4,2,Y,N,Y,369.216
4,2,Y,N,N,311.231
4,2,N,Y,Y,349.286
4,2,N,Y,N,298.22
4,2,N,N,Y,214.775
4,2,N,N,N,46.694
5,0.01,Y,Y,Y,53.19
5,0.01,Y,Y,N,49.511
5,0.01,Y,N,Y,46.513
5,0.01,Y,N,N,44.677
5,0.01,N,Y,Y,53.91
5,0.01,N,Y,N,53.097
5,0.01,N,N,Y,49.454
5,0.01,N,N,N,46.694
5,0.1,Y,Y,Y,45.589
5,0.1,Y,Y,N,46.636
5,0.1,Y,N,Y,40.585
5,0.1,Y,N,N,38.422
5,0.1,N,Y,Y,50.967
5,0.1,N,Y,N,58.174
5,0.1,N,N,Y,46.886
5,0.1,N,N,N,46.694
5,0.5,Y,Y,Y,26.602
5,0.5,Y,Y,N,36.3
5,0.5,Y,N,Y,24.246
5,0.5,Y,N,N,27.588
5,0.5,N,Y,Y,37.893
5,0.5,N,Y,N,58.432
5,0.5,N,N,Y,38.715
5,0.5,N,N,N,46.694
5,1,Y,Y,Y,44.117
5,1,Y,Y,N,63.958
5,1,Y,N,Y,40.43
5,1,Y,N,N,24.957
5,1,N,Y,Y,31.609
5,1,N,Y,N,45.078
5,1,N,N,Y,26.453
5,1,N,N,N,46.694
5,2,Y,Y,Y,372.686
5,2,Y,Y,N,387.742
5,2,Y,N,Y,368.096
5,2,Y,N,N,295.327
5,2,N,Y,Y,351.093
5,2,N,Y,N,298.093
5,2,N,N,Y,211.895
5,2,N,N,N,46.694
6,0.01,Y,Y,Y,54.959
6,0.01,Y,Y,N,51.288
6,0.01,Y,N,Y,49.424
6,0.01,Y,N,N,44.556
6,0.01,N,Y,Y,56.784
6,0.01,N,Y,N,53.445
6,0.01,N,N,Y,49.053
6,0.01,N,N,N,46.694
6,0.1,Y,Y,Y,51.172
6,0.1,Y,Y,N,48.441
6,0.1,Y,N,Y,41.175
6,0.1,Y,N,N,38.84
6,0.1,N,Y,Y,55.24
6,0.1,N,Y,N,60.97
6,0.1,N,N,Y,47.459
6,0.1,N,N,N,46.694
6,0.5,Y,Y,Y,31.13
6,0.5,Y,Y,N,37.803
6,0.5,Y,N,Y,27.873
6,0.5,Y,N,N,30.099
6,0.5,N,Y,Y,41.105
6,0.5,N,Y,N,62.806
6,0.5,N,N,Y,42.311
6,0.5,N,N,N,46.694
6,1,Y,Y,Y,41.017
6,1,Y,Y,N,64.532
6,1,Y,N,Y,33.741
6,1,Y,N,N,24.094
6,1,N,Y,Y,31.301
6,1,N,Y,N,49.021
6,1,N,N,Y,29.246
6,1,N,N,N,46.694
6,2,Y,Y,Y,366.776
6,2,Y,Y,N,377.824
6,2,Y,N,Y,366.406
6,2,Y,N,N,269.725
6,2,N,Y,Y,350.578
6,2,N,Y,N,291.394
6,2,N,N,Y,193.102
6,2,N,N,N,46.694
7,0.01,Y,Y,Y,56.671
7,0.01,Y,Y,N,52.396
7,0.01,Y,N,Y,49.829
7,0.01,Y,N,N,45.088
7,0.01,N,Y,Y,58.236
7,0.01,N,Y,N,53.064
7,0.01,N,N,Y,49.946
7,0.01,N,N,N,46.694
7,0.1,Y,Y,Y,54.033
7,0.1,Y,Y,N,49.736
7,0.1,Y,N,Y,44.931
7,0.1,Y,N,N,40.126
7,0.1,N,Y,Y,59.426
7,0.1,N,Y,N,61.836
7,0.1,N,N,Y,50.724
7,0.1,N,N,N,46.694
7,0.5,Y,Y,Y,35.946
7,0.5,Y,Y,N,40.192
7,0.5,Y,N,Y,31.398
7,0.5,Y,N,N,29.895
7,0.5,N,Y,Y,51.125
7,0.5,N,Y,N,69.626
7,0.5,N,N,Y,46.264
7,0.5,N,N,N,46.694
7,1,Y,Y,Y,45.22
7,1,Y,Y,N,61.582
7,1,Y,N,Y,33.429
7,1,Y,N,N,27.88
7,1,N,Y,Y,39.204
7,1,N,Y,N,66.962
7,1,N,N,Y,35.752
7,1,N,N,N,46.694
7,2,Y,Y,Y,357.921
7,2,Y,Y,N,363.287
7,2,Y,N,Y,356.04
7,2,Y,N,N,247.976
7,2,N,Y,Y,334.046
7,2,N,Y,N,242.623
7,2,N,N,Y,171.909
7,2,N,N,N,46.694
8,0.01,Y,Y,Y,57.377
8,0.01,Y,Y,N,53.393
8,0.01,Y,N,Y,51.877
8,0.01,Y,N,N,45.015
8,0.01,N,Y,Y,59.325
8,0.01,N,Y,N,53.407
8,0.01,N,N,Y,49.635
8,0.01,N,N,N,46.694
8,0.1,Y,Y,Y,56.655
8,0.1,Y,Y,N,52.427
8,0.1,Y,N,Y,48.137
8,0.1,Y,N,N,39.319
8,0.1,N,Y,Y,61.432
8,0.1,N,Y,N,62.008
8,0.1,N,N,Y,51.029
8,0.1,N,N,N,46.694
8,0.5,Y,Y,Y,47.05
8,0.5,Y,Y,N,46.01
8,0.5,Y,N,Y,36.429
8,0.5,Y,N,N,33.636
8,0.5,N,Y,Y,54.083
8,0.5,N,Y,N,73.686
8,0.5,N,N,Y,47.539
8,0.5,N,N,N,46.694
8,1,Y,Y,Y,50.325
8,1,Y,Y,N,66.94
8,1,Y,N,Y,35.518
8,1,Y,N,N,30.598
8,1,N,Y,Y,45.513
8,1,N,Y,N,76.334
8,1,N,N,Y,38.997
8,1,N,N,N,46.694
8,2,Y,Y,Y,349.123
8,2,Y,Y,N,337.214
8,2,Y,N,Y,340.53
8,2,Y,N,N,216.855
8,2,N,Y,Y,280.464
8,2,N,Y,N,183.517
8,2,N,N,Y,147.052
8,2,N,N,N,46.694
