Taps,Steps,X Filtered,Y Filtered,Z Filtered,Average Absolute Error
2,0.5,N,N,N,46.694
2,1,Y,Y,Y,40.984
2,1,Y,Y,N,40.824
2,1,Y,N,Y,36.917
2,1,Y,N,N,36.19
2,1,N,Y,Y,51.907
2,1,N,Y,N,53.827
2,1,N,N,Y,47.379
2,1,N,N,N,46.694
2,2,Y,Y,Y,31.991
2,2,Y,Y,N,33.585
2,2,Y,N,Y,31.336
2,2,Y,N,N,32.136
2,2,N,Y,Y,46.297
2,2,N,Y,N,49.471
2,2,N,N,Y,45.814
2,2,N,N,N,46.694
3,0.01,Y,Y,Y,48.286
3,0.01,Y,Y,N,47.684
3,0.01,Y,N,Y,47.291
3,0.01,Y,N,N,45.855
3,0.01,N,Y,Y,48.854
3,0.01,N,Y,N,47.487
3,0.01,N,N,Y,47.032
3,0.01,N,N,N,46.694
3,0.1,Y,Y,Y,50.116
3,0.1,Y,Y,N,49.055
3,0.1,Y,N,Y,45.027
3,0.1,Y,N,N,42.496
3,0.1,N,Y,Y,54.243
3,0.1,N,Y,N,52.597
3,0.1,N,N,Y,47.86
3,0.1,N,N,N,46.694
3,0.5,Y,Y,Y,45.786
3,0.5,Y,Y,N,43.27
3,0.5,Y,N,Y,40.33
3,0.5,Y,N,N,37.997
3,0.5,N,Y,Y,56.246
3,0.5,N,Y,N,56.221
3,0.5,N,N,Y,49.014
3,0.5,N,N,N,46.694
3,1,Y,Y,Y,40.322
3,1,Y,Y,N,38.265
3,1,Y,N,Y,35.311
3,1,Y,N,N,33.907
3,1,N,Y,Y,57.407
3,1,N,Y,N,58.542
3,1,N,N,Y,48.832
3,1,N,N,N,46.694
3,2,Y,Y,Y,31.594
3,2,Y,Y,N,29.494
3,2,Y,N,Y,29.135
3,2,Y,N,N,30.259
3,2,N,Y,Y,55.102
3,2,N,Y,N,57.72
3,2,N,N,Y,47.32
3,2,N,N,N,46.694
4,0.01,Y,Y,Y,49.898
4,0.01,Y,Y,N,48.487
4,0.01,Y,N,Y,47.294
4,0.01,Y,N,N,45.96
4,0.01,N,Y,Y,49.523
4,0.01,N,Y,N,48.406
4,0.01,N,N,Y,47.379
4,0.01,N,N,N,46.694
4,0.1,Y,Y,Y,50.889
4,0.1,Y,Y,N,49.359
4,0.1,Y,N,Y,45.281
4,0.1,Y,N,N,42.904
4,0.1,N,Y,Y,55.977
4,0.1,N,Y,N,54.142
4,0.1,N,N,Y,48.76
4,0.1,N,N,N,46.694
4,0.5,Y,Y,Y,45.528
4,0.5,Y,Y,N,46.454
4,0.5,Y,N,Y,41.682
4,0.5,Y,N,N,37.665
4,0.5,N,Y,Y,58.754
4,0.5,N,Y,N,58.516
4,0.5,N,N,Y,49.447
4,0.5,N,N,N,46.694
4,1,Y,Y,Y,39.941
4,1,Y,Y,N,39.412
4,1,Y,N,Y,35.494
4,1,Y,N,N,33.763
4,1,N,Y,Y,59.892
4,1,N,Y,N,61.868
4,1,N,N,Y,49.349
4,1,N,N,N,46.694
4,2,Y,Y,Y,33.894
4,2,Y,Y,N,32.927
4,2,Y,N,Y,29.299
4,2,Y,N,N,29.57
4,2,N,Y,Y,59.858
4,2,N,Y,N,65.122
4,2,N,N,Y,48.077
4,2,N,N,N,46.694
5,0.01,Y,Y,Y,52.664
5,0.01,Y,Y,N,49.093
5,0.01,Y,N,Y,47.918
5,0.01,Y,N,N,46.565
5,0.01,N,Y,Y,50.525
5,0.01,N,Y,N,49.372
5,0.01,N,N,Y,48.122
5,0.01,N,N,N,46.694
5,0.1,Y,Y,Y,52.967
5,0.1,Y,Y,N,48.754
5,0.1,Y,N,Y,45.031
5,0.1,Y,N,N,42.375
5,0.1,N,Y,Y,57.354
5,0.1,N,Y,N,56.247
5,0.1,N,N,Y,49.651
5,0.1,N,N,N,46.694
5,0.5,Y,Y,Y,47.641
5,0.5,Y,Y,N,46.212
5,0.5,Y,N,Y,41.033
5,0.5,Y,N,N,36.659
5,0.5,N,Y,Y,59.422
5,0.5,N,Y,N,60.992
5,0.5,N,N,Y,50.403
5,0.5,N,N,N,46.694
5,1,Y,Y,Y,41.359
5,1,Y,Y,N,40.962
5,1,Y,N,Y,37.12
5,1,Y,N,N,33.34
5,1,N,Y,Y,58.971
5,1,N,Y,N,63.53
5,1,N,N,Y,50.542
5,1,N,N,N,46.694
5,2,Y,Y,Y,36.615
5,2,Y,Y,N,40.267
5,2,Y,N,Y,31.731
5,2,Y,N,N,29.32
5,2,N,Y,Y,50.829
5,2,N,Y,N,60.979
5,2,N,N,Y,48.827
5,2,N,N,N,46.694
6,0.01,Y,Y,Y,54.321
6,0.01,Y,Y,N,50.657
6,0.01,Y,N,Y,49.459
6,0.01,Y,N,N,46.428
6,0.01,N,Y,Y,52.542
6,0.01,N,Y,N,49.869
6,0.01,N,N,Y,48.109
6,0.01,N,N,N,46.694
6,0.1,Y,Y,Y,54.411
6,0.1,Y,Y,N,50.821
6,0.1,Y,N,Y,47.196
6,0.1,Y,N,N,42.62
6,0.1,N,Y,Y,60.08
6,0.1,N,Y,N,57.273
6,0.1,N,N,Y,49.636
6,0.1,N,N,N,46.694
6,0.5,Y,Y,Y,52.127
6,0.5,Y,Y,N,47.12
6,0.5,Y,N,Y,41.675
6,0.5,Y,N,N,37.854
6,0.5,N,Y,Y,62.326
6,0.5,N,Y,N,63.695
6,0.5,N,N,Y,50.627
6,0.5,N,N,N,46.694
6,1,Y,Y,Y,46.923
6,1,Y,Y,N,42.056
6,1,Y,N,Y,37.167
6,1,Y,N,N,33.183
6,1,N,Y,Y,61.22
6,1,N,Y,N,66.716
6,1,N,N,Y,50.64
6,1,N,N,N,46.694
6,2,Y,Y,Y,46.838
6,2,Y,Y,N,46.824
6,2,Y,N,Y,33.583
6,2,Y,N,N,30.802
6,2,N,Y,Y,52.082
6,2,N,Y,N,57.156
6,2,N,N,Y,49.421
6,2,N,N,N,46.694
7,0.01,Y,Y,Y,55.664
7,0.01,Y,Y,N,52.249
7,0.01,Y,N,Y,51.196
7,0.01,Y,N,N,46.848
7,0.01,N,Y,Y,54.903
7,0.01,N,Y,N,50.203
7,0.01,N,N,Y,48.493
7,0.01,N,N,N,46.694
7,0.1,Y,Y,Y,56.023
7,0.1,Y,Y,N,51.96
7,0.1,Y,N,Y,48.74
7,0.1,Y,N,N,43.088
7,0.1,N,Y,Y,62.381
7,0.1,N,Y,N,58.229
7,0.1,N,N,Y,50.362
7,0.1,N,N,N,46.694
7,0.5,Y,Y,Y,53.689
7,0.5,Y,Y,N,48.764
7,0.5,Y,N,Y,43.115
7,0.5,Y,N,N,37.527
7,0.5,N,Y,Y,65.902
7,0.5,N,Y,N,65.072
7,0.5,N,N,Y,51.508
7,0.5,N,N,N,46.694
7,1,Y,Y,Y,52.196
7,1,Y,Y,N,45.269
7,1,Y,N,Y,38.878
7,1,Y,N,N,34.174
7,1,N,Y,Y,67.365
7,1,N,Y,N,69.94
7,1,N,N,Y,51.225
7,1,N,N,N,46.694
7,2,Y,Y,Y,51.626
7,2,Y,Y,N,52.925
7,2,Y,N,Y,38.363
7,2,Y,N,N,31.475
7,2,N,Y,Y,60.492
7,2,N,Y,N,67.274
7,2,N,N,Y,50.992
7,2,N,N,N,46.694
8,0.01,Y,Y,Y,56.93
8,0.01,Y,Y,N,53.559
8,0.01,Y,N,Y,52.595
8,0.01,Y,N,N,47.178
8,0.01,N,Y,Y,56.459
8,0.01,N,Y,N,50.788
8,0.01,N,N,Y,48.823
8,0.01,N,N,N,46.694
8,0.1,Y,Y,Y,57.198
8,0.1,Y,Y,N,52.729
8,0.1,Y,N,Y,49.375
8,0.1,Y,N,N,42.574
8,0.1,N,Y,Y,64.138
8,0.1,N,Y,N,59.448
8,0.1,N,N,Y,50.662
8,0.1,N,N,N,46.694
8,0.5,Y,Y,Y,57.826
8,0.5,Y,Y,N,50.641
8,0.5,Y,N,Y,45.352
8,0.5,Y,N,N,37.109
8,0.5,N,Y,Y,69.466
8,0.5,N,Y,N,67.675
8,0.5,N,N,Y,51.466
8,0.5,N,N,N,46.694
8,1,Y,Y,Y,57.043
8,1,Y,Y,N,48.682
8,1,Y,N,Y,40.352
8,1,Y,N,N,33.301
8,1,N,Y,Y,70.431
8,1,N,Y,N,72.31
8,1,N,N,Y,51.859
8,1,N,N,N,46.694
8,2,Y,Y,Y,63.834
8,2,Y,Y,N,62.496
8,2,Y,N,Y,40.528
8,2,Y,N,N,33.718
8,2,N,Y,Y,70.083
8,2,N,Y,N,75.39
8,2,N,N,Y,52.484
8,2,N,N,N,46.694
